user_id,category_id,ads
13957,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
4156,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
4390,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
8821,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
1837,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
10273,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
8085,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
2402,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
7520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
1921,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
4304,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
6717,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
12320,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
10351,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3866,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
8399,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
306,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
1183,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
8085,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
1921,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
1193,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
3722,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
4259,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
1921,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
520,853,"[2182646, 2070408, 2866207, 2841786, 2838258, 2197000, 1156771, 2912908, 2071467, 2340688]"
